Full name of License	License Identifier	Source/url
Creative Commons Attribution Non Commercial 2.5	CC-BY-NC-2.5	http://creativecommons.org/licenses/by-nc/2.5/legalcode
Creative Commons Attribution Non Commercial 3.0	CC-BY-NC-3.0	http://creativecommons.org/licenses/by-nc/3.0/legalcode
Creative Commons Attribution Non Commercial 4.0	CC-BY-NC-4.0	http://creativecommons.org/licenses/by-nc/4.0/legalcode
Creative Commons Attribution Non Commercial No Derivatives 1.0	CC-BY-NC-ND-1.0	http://creativecommons.org/licenses/by-nd-nc/1.0/legalcode
Creative Commons Attribution Non Commercial No Derivatives 2.0	CC-BY-NC-ND-2.0	http://creativecommons.org/licenses/by-nc-nd/2.0/legalcode
Creative Commons Attribution Non Commercial No Derivatives 2.5	CC-BY-NC-ND-2.5	http://creativecommons.org/licenses/by-nc-nd/2.5/legalcode
Creative Commons Attribution Non Commercial No Derivatives 3.0	CC-BY-NC-ND-3.0	http://creativecommons.org/licenses/by-nc-nd/3.0/legalcode
Creative Commons Attribution Non Commercial No Derivatives 4.0	CC-BY-NC-ND-4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode
Creative Commons Attribution Non Commercial Share Alike 1.0	CC-BY-NC-SA-1.0	http://creativecommons.org/licenses/by-nc-sa/1.0/legalcode
Creative Commons Attribution Non Commercial Share Alike 2.0	CC-BY-NC-SA-2.0	http://creativecommons.org/licenses/by-nc-sa/2.0/legalcode
Creative Commons Attribution Non Commercial Share Alike 2.5	CC-BY-NC-SA-2.5	http://creativecommons.org/licenses/by-nc-sa/2.5/legalcode
Creative Commons Attribution Non Commercial Share Alike 3.0	CC-BY-NC-SA-3.0	http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Creative Commons Attribution Non Commercial Share Alike 4.0	CC-BY-NC-SA-4.0	http://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
Creative Commons Attribution Share Alike 1.0	CC-BY-SA-1.0	http://creativecommons.org/licenses/by-sa/1.0/legalcode
Creative Commons Attribution Share Alike 2.0	CC-BY-SA-2.0	http://creativecommons.org/licenses/by-sa/2.0/legalcode
Creative Commons Attribution Share Alike 2.5	CC-BY-SA-2.5	http://creativecommons.org/licenses/by-sa/2.5/legalcode
Creative Commons Attribution Share Alike 3.0	CC-BY-SA-3.0	http://creativecommons.org/licenses/by-sa/3.0/legalcode
Creative Commons Attribution Share Alike 4.0	CC-BY-SA-4.0	http://creativecommons.org/licenses/by-sa/4.0/legalcode
Creative Commons Zero v1.0 Universal	CC0-1.0	http://creativecommons.org/publicdomain/zero/1.0/legalcode
Crossword License	Crossword	https://fedoraproject.org/wiki/Licensing/Crossword
CrystalStacker License	CrystalStacker	https://fedoraproject.org/wiki/Licensing:CrystalStacker?rd=Licensing/CrystalStacker
CUA Office Public License v1.0	CUA-OPL-1.0	http://opensource.org/licenses/CUA-OPL-1.0
Cube License	Cube	https://fedoraproject.org/wiki/Licensing/Cube
curl License	curl	https://github.com/bagder/curl/blob/master/COPYING
Deutsche Freie Software Lizenz	D-FSL-1.0	"http://www.dipp.nrw.de/d-fsl/lizenzen/
http://www.dipp.nrw.de/d-fsl/index_html/lizenzen/de/D-FSL-1_0_de.txt"
diffmark license	diffmark	https://fedoraproject.org/wiki/Licensing/diffmark
Do What The F*ck You Want To Public License	WTFPL	http://sam.zoy.org/wtfpl/COPYING
DOC License	DOC	http://www.cs.wustl.edu/~schmidt/ACE-copying.html
Dotseqn License	Dotseqn	https://fedoraproject.org/wiki/Licensing/Dotseqn
DSDP License	DSDP	https://fedoraproject.org/wiki/Licensing/DSDP
dvipdfm License	dvipdfm	https://fedoraproject.org/wiki/Licensing/dvipdfm
Eclipse Public License 1.0	EPL-1.0	"http://www.eclipse.org/legal/epl-v10.html
http://www.opensource.org/licenses/EPL-1.0"
Educational Community License v1.0	ECL-1.0	http://opensource.org/licenses/ECL-1.0
Educational Community License v2.0	ECL-2.0	http://opensource.org/licenses/ECL-2.0
eGenix.com Public License 1.1.0	eGenix	"http://www.egenix.com/products/eGenix.com-Public-License-1.1.0.pdf
https://fedoraproject.org/wiki/Licensing/eGenix.com_Public_License_1.1.0"
Eiffel Forum License v1.0	EFL-1.0	"http://www.eiffel-nice.org/license/forum.txt
http://opensource.org/licenses/EFL-1.0"
Eiffel Forum License v2.0	EFL-2.0	"http://www.eiffel-nice.org/license/eiffel-forum-license-2.html
http://opensource.org/licenses/EFL-2.0"
Enlightenment License (e16)	MIT-advertising	https://fedoraproject.org/wiki/Licensing/MIT_With_Advertising
enna License	MIT-enna	https://fedoraproject.org/wiki/Licensing/MIT#enna
Entessa Public License v1.0	Entessa	http://opensource.org/licenses/Entessa
Erlang Public License v1.1	ErlPL-1.1	http://www.erlang.org/EPLICENSE
EU DataGrid Software License	EUDatagrid	"http://eu-datagrid.web.cern.ch/eu-datagrid/license.html
http://www.opensource.org/licenses/EUDatagrid"
European Union Public License 1.0	EUPL-1.0	"http://ec.europa.eu/idabc/en/document/7330.html
http://ec.europa.eu/idabc/servlets/Doc027f.pdf?id=31096"
European Union Public License 1.1	EUPL-1.1	"https://joinup.ec.europa.eu/software/page/eupl/licence-eupl
https://joinup.ec.europa.eu/system/files/EN/EUPL%20v.1.1%20-%20Licence.pdf
http://www.opensource.org/licenses/EUPL-1.1"
Eurosym License	Eurosym	https://fedoraproject.org/wiki/Licensing/Eurosym
Fair License	Fair	http://www.opensource.org/licenses/Fair
feh License	MIT-feh	https://fedoraproject.org/wiki/Licensing/MIT#feh
Frameworx Open License 1.0	Frameworx-1.0	http://www.opensource.org/licenses/Frameworx-1.0
FreeImage Public License v1.0	FreeImage	http://freeimage.sourceforge.net/freeimage-license.txt
Freetype Project License	FTL	http://freetype.fis.uniroma2.it/FTL.TXT
FSF All Permissive License	FSFAP	http://www.gnu.org/prep/maintain/html_node/License-Notices-for-Other-Files.html
FSF Unlimited License	FSFUL	https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License
FSF Unlimited License (with License Retention)	FSFULLR	https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant
Giftware License	Giftware	http://alleg.sourceforge.net//license.html
GL2PS License	GL2PS	http://www.geuz.org/gl2ps/COPYING.GL2PS
Glulxe License	Glulxe	https://fedoraproject.org/wiki/Licensing/Glulxe
GNU Affero General Public License v3.0	AGPL-3.0	"http://www.gnu.org/licenses/agpl.txt
http://www.opensource.org/licenses/AGPL-3.0"
GNU Free Documentation License v1.1	GFDL-1.1	http://www.gnu.org/licenses/old-licenses/fdl-1.1.txt
GNU Free Documentation License v1.2	GFDL-1.2	http://www.gnu.org/licenses/old-licenses/fdl-1.2.txt
GNU Free Documentation License v1.3	GFDL-1.3	http://www.gnu.org/licenses/fdl-1.3.txt
GNU General Public License v1.0 only	GPL-1.0	http://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html
GNU General Public License v2.0 only	GPL-2.0	"http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html
http://www.opensource.org/licenses/GPL-2.0"
GNU General Public License v3.0 only	GPL-3.0	"http://www.gnu.org/licenses/gpl-3.0-standalone.html
http://www.opensource.org/licenses/GPL-3.0"
GNU Lesser General Public License v2.1 only	LGPL-2.1	"http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html
http://www.opensource.org/licenses/LGPL-2.1"
GNU Lesser General Public License v3.0 only	LGPL-3.0	"http://www.gnu.org/licenses/lgpl-3.0-standalone.html
http://www.opensource.org/licenses/LGPL-3.0"
GNU Library General Public License v2 only	LGPL-2.0	http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html
gnuplot License	gnuplot	https://fedoraproject.org/wiki/Licensing/Gnuplot
gSOAP Public License v1.3b	gSOAP-1.3b	http://www.cs.fsu.edu/~engelen/license.html
Haskell Language Report License	HaskellReport	https://fedoraproject.org/wiki/Licensing/Haskell_Language_Report_License
Historic Permission Notice and Disclaimer	HPND	http://www.opensource.org/licenses/HPND
IBM PowerPC Initialization and Boot Software	IBM-pibs	http://git.denx.de/?p=u-boot.git;a=blob;f=arch/powerpc/cpu/ppc4xx/miiphy.c;h=297155fdafa064b955e53e9832de93bfb0cfb85b;hb=9fab4bf4cc077c21e43941866f3f2c196f28670d
IBM Public License v1.0	IPL-1.0	http://www.opensource.org/licenses/IPL-1.0
ICU License	ICU	http://source.icu-project.org/repos/icu/icu/trunk/license.html
ImageMagick License	ImageMagick	http://www.imagemagick.org/script/license.php
iMatix Standard Function Library Agreement	iMatix	http://legacy.imatix.com/html/sfl/sfl4.htm#license
Imlib2 License	Imlib2	http://trac.enlightenment.org/e/browser/trunk/imlib2/COPYING
